GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Common,companyB.common.iter_enum,node,0,27,0,2,0,9,0,3,0,2
Common,companyB.common.iter_enum,NodeIterEnum,0,78,0,10,0,24,0,15,0,10
Common,companyB.common.conversion,Converter,12,417,15,45,1,56,16,28,1,13
Common,companyB.common.internationalizations,Internationalization,3,422,3,7,2,26,4,4,1,2
Common,companyB.common.internationalizations,Internationalization.TimeFrame,9,29,0,0,0,2,2,2,2,2
Common,companyB.common.internationalizations,Internationalization.Language,9,49,0,0,0,2,2,2,2,2
Common,companyB.common.enums,Canadian_Provinces,5,261,0,16,0,36,1,14,1,6
Common,companyB.common.enums,Days,0,211,1,23,0,26,1,18,0,7
Common,companyB.common.enums,US_States,5,764,0,20,0,81,1,16,1,6
Common,companyB.common.enums,Months,0,304,1,25,0,37,1,19,0,7
Common,companyB.common.utils,CollectionsSplitter.optimization_strategy,0,38,0,0,0,2,0,4,0,4
Common,companyB.common.utils,CollectionsSplitter,6,112,2,18,2,29,3,11,1,3
Common,companyB.common.utils,DateTimeUtils,3,37,0,2,1,12,1,4,1,3
Common,companyB.common.utils,PropertiesUtils,3,112,2,12,1,33,3,9,1,4
Common,companyB.common.utils,FactoryUtils,3,46,2,8,1,17,3,6,1,3
Common,companyB.common.utils,SimpleRegexUtils,3,156,1,41,1,46,2,26,1,6
